12.7,781.9,56.02,
55.8,899,69.55,
59.4,1073.8,60.09,
60.9,1159,141.78,
60.2,1244.2,303.98,
70.3,1519.7,366.03,
80,1775.2,419.62,
80.9,2059.9,417.1,
90,2425.3,173.9,
12.8,781.6,56.22,
55.7,899.6,69.55,
59.7,1073,60.09,
60.9,1159.9,142.18,
60.1,1244.7,303.48,
70.3,1519.6,365.63,
80.5,1775.8,419.42,
80.4,2059.7,416.5,
90.3,2425.8,173.4,
12.8,781,56.12,
55.6,899,69.65,
59.2,1073.6,60.69,
60.4,1159.1,141.58,
60.7,1244.8,304.08,
70.3,1519.8,365.23,
80.5,1775.3,419.82,
80.4,2059.3,417,
90.5,2425.9,173.5,
12.4,781.9,55.82,
55.7,899.5,69.85,
59.4,1073.1,60.59,
60.8,1159.3,141.78,
60.2,1244.2,303.88,
70.6,1519.7,365.93,
80.4,1775.1,420.02,
80.1,2059.8,417.1,
90.8,2425.7,173.7,
